x,y,lab
0.25000,4.50000,Ni
0.25000,4.25000,Fe
0.25000,4.00000,La
0.25000,3.75000,Ce
0.25000,3.50000,Co
0.25000,3.25000,Mn
0.77000,4.50000,Ni
1.08000,4.50000,Fe
0.77000,4.25000,Ni
1.08000,4.25000,La
0.77000,4.00000,Ni
1.08000,4.00000,Ce
0.77000,3.75000,Ni
1.08000,3.75000,Co
0.77000,3.50000,Ni
1.08000,3.50000,Mn
0.77000,3.25000,Fe
1.08000,3.25000,La
0.77000,3.00000,Fe
1.08000,3.00000,Ce
0.77000,2.75000,Fe
1.08000,2.75000,Co
0.77000,2.50000,Fe
1.08000,2.50000,Mn
0.77000,2.25000,La
1.08000,2.25000,Ce
0.77000,2.00000,La
1.08000,2.00000,Co
0.77000,1.75000,La
1.08000,1.75000,Mn
0.77000,1.50000,Ce
1.08000,1.50000,Co
0.77000,1.25000,Ce
1.08000,1.25000,Mn
0.77000,1.00000,Co
1.08000,1.00000,Mn
2.35000,4.42000,Ni
2.50500,4.68040,Fe
2.66000,4.42000,La
2.35000,3.47000,Ni
2.50500,3.73040,Fe
2.66000,3.47000,Ce
2.35000,2.52000,Ni
2.50500,2.78040,Fe
2.66000,2.52000,Co
2.35000,1.57000,Ni
2.50500,1.83040,Fe
2.66000,1.57000,Mn
2.35000,0.62000,Ni
2.50500,0.88040,La
2.66000,0.62000,Ce
3.45000,4.42000,Ni
3.60500,4.68040,La
3.76000,4.42000,Co
3.45000,3.47000,Ni
3.60500,3.73040,La
3.76000,3.47000,Mn
3.45000,2.52000,Ni
3.60500,2.78040,Ce
3.76000,2.52000,Co
3.45000,1.57000,Ni
3.60500,1.83040,Ce
3.76000,1.57000,Mn
3.45000,0.62000,Ni
3.60500,0.88040,Co
3.76000,0.62000,Mn
4.55000,4.42000,Fe
4.70500,4.68040,La
4.86000,4.42000,Ce
4.55000,3.47000,Fe
4.70500,3.73040,La
4.86000,3.47000,Co
4.55000,2.52000,Fe
4.70500,2.78040,La
4.86000,2.52000,Mn
4.55000,1.57000,Fe
4.70500,1.83040,Ce
4.86000,1.57000,Co
4.55000,0.62000,Fe
4.70500,0.88040,Ce
4.86000,0.62000,Mn
5.65000,4.42000,Fe
5.80500,4.68040,Co
5.96000,4.42000,Mn
5.65000,3.47000,La
5.80500,3.73040,Ce
5.96000,3.47000,Co
5.65000,2.52000,La
5.80500,2.78040,Ce
5.96000,2.52000,Mn
5.65000,1.57000,La
5.80500,1.83040,Co
5.96000,1.57000,Mn
5.65000,0.62000,Ce
5.80500,0.88040,Co
5.96000,0.62000,Mn
6.85000,4.42000,Ni
7.00500,4.68040,Fe
7.16000,4.42000,La
7.31500,4.68040,Ce
6.85000,3.47000,Ni
7.00500,3.73040,Fe
7.16000,3.47000,La
7.31500,3.73040,Co
6.85000,2.52000,Ni
7.00500,2.78040,Fe
7.16000,2.52000,La
7.31500,2.78040,Mn
6.85000,1.57000,Ni
7.00500,1.83040,Fe
7.16000,1.57000,Ce
7.31500,1.83040,Co
6.85000,0.62000,Ni
7.00500,0.88040,Fe
7.16000,0.62000,Ce
7.31500,0.88040,Mn
9.25000,4.42000,Ni
9.40500,4.68040,Fe
9.56000,4.42000,Co
9.71500,4.68040,Mn
9.25000,3.47000,Ni
9.40500,3.73040,La
9.56000,3.47000,Ce
9.71500,3.73040,Co
9.25000,2.52000,Ni
9.40500,2.78040,La
9.56000,2.52000,Ce
9.71500,2.78040,Mn
9.25000,1.57000,Ni
9.40500,1.83040,La
9.56000,1.57000,Co
9.71500,1.83040,Mn
9.25000,0.62000,Ni
9.40500,0.88040,Ce
9.56000,0.62000,Co
9.71500,0.88040,Mn
11.65000,4.42000,Fe
11.80500,4.68040,La
11.96000,4.42000,Ce
12.11500,4.68040,Co
11.65000,3.47000,Fe
11.80500,3.73040,La
11.96000,3.47000,Ce
12.11500,3.73040,Mn
11.65000,2.52000,Fe
11.80500,2.78040,La
11.96000,2.52000,Co
12.11500,2.78040,Mn
11.65000,1.57000,Fe
11.80500,1.83040,Ce
11.96000,1.57000,Co
12.11500,1.83040,Mn
11.65000,0.62000,La
11.80500,0.88040,Ce
11.96000,0.62000,Co
12.11500,0.88040,Mn