x,y,A,B,C,D,E,F
13.25000,2.57320,0.0,0.2,0.4,0.0,0.1,0.3
12.90000,1.53660,0.0,0.2,0.0,0.1,0.2,0.5
8.80000,2.31340,0.2,0.2,0.4,0.0,0.0,0.2
13.15000,4.12679,0.0,0.6,0.1,0.1,0.2,0.0
6.45000,0.32680,0.0,0.0,0.0,0.2,0.3,0.5
8.20000,2.31340,0.4,0.1,0.2,0.0,0.0,0.3
10.35000,0.67321,0.1,0.0,0.0,0.2,0.2,0.5
12.95000,2.22680,0.0,0.4,0.1,0.0,0.3,0.2
9.65000,4.12679,0.6,0.2,0.0,0.0,0.1,0.1
4.10000,1.19019,0.4,0.0,0.0,0.2,0.0,0.4
12.95000,4.12679,0.0,0.4,0.1,0.3,0.2,0.0
8.60000,0.41340,0.4,0.2,0.0,0.2,0.0,0.2
3.90000,2.31340,0.5,0.0,0.0,0.4,0.1,0.0
12.15000,0.32680,0.0,0.0,0.5,0.2,0.2,0.1
4.10000,3.60981,0.1,0.0,0.8,0.0,0.0,0.1
12.30000,2.48660,0.0,0.2,0.5,0.0,0.2,0.1
4.15000,3.95359,0.4,0.0,0.1,0.0,0.5,0.0
8.15000,4.47321,0.2,0.1,0.1,0.6,0.0,0.0
3.05000,2.05359,0.4,0.1,0.0,0.0,0.5,0.0
3.75000,3.95359,0.8,0.0,0.1,0.0,0.1,0.0
7.65000,3.52320,0.1,0.5,0.2,0.0,0.2,0.0
11.35000,4.30000,0.3,0.2,0.0,0.0,0.2,0.3
8.75000,2.40000,0.2,0.3,0.3,0.0,0.0,0.2
13.70000,1.53660,0.0,0.2,0.0,0.2,0.2,0.4
2.90000,3.09019,0.5,0.2,0.0,0.3,0.0,0.0
13.50000,4.38660,0.0,0.2,0.4,0.2,0.2,0.0
1.80000,3.75000,0.4,0.0,0.0,0.0,0.6,0.0
2.00000,4.50000,0.2,0.8,0.0,0.0,0.0,0.0
8.20000,4.38660,0.3,0.1,0.1,0.5,0.0,0.0
10.25000,4.47321,0.1,0.3,0.0,0.0,0.2,0.4
7.75000,3.35000,0.1,0.3,0.4,0.0,0.2,0.0
3.20000,0.41340,0.1,0.0,0.4,0.5,0.0,0.0
11.00000,1.36340,0.4,0.0,0.2,0.0,0.2,0.2
12.75000,2.57320,0.0,0.1,0.2,0.0,0.2,0.5
13.20000,2.31340,0.0,0.5,0.2,0.0,0.1,0.2
11.25000,4.30000,0.2,0.2,0.0,0.0,0.3,0.3
7.45000,4.30000,0.3,0.4,0.2,0.1,0.0,0.0
7.50000,2.14019,0.4,0.1,0.4,0.0,0.0,0.1
11.00000,0.41340,0.4,0.0,0.0,0.2,0.2,0.2
13.50000,2.48660,0.0,0.2,0.4,0.0,0.2,0.2
10.05000,3.17679,0.2,0.0,0.2,0.5,0.1,0.0
10.45000,2.40000,0.2,0.0,0.1,0.3,0.0,0.4
7.40000,0.58660,0.3,0.5,0.0,0.1,0.0,0.1
7.30000,3.09019,0.6,0.1,0.2,0.0,0.1,0.0
10.20000,0.41340,0.1,0.0,0.0,0.2,0.5,0.2
8.30000,2.48660,0.3,0.2,0.1,0.0,0.0,0.4
10.55000,1.62321,0.2,0.0,0.1,0.0,0.1,0.6
6.35000,2.05359,0.0,0.0,0.4,0.1,0.0,0.5
7.75000,0.67321,0.1,0.4,0.0,0.2,0.0,0.3
12.05000,0.32680,0.0,0.0,0.6,0.2,0.1,0.1
8.20000,0.75981,0.1,0.2,0.0,0.1,0.0,0.6
7.20000,3.09019,0.7,0.1,0.1,0.0,0.1,0.0
12.70000,4.38660,0.0,0.1,0.2,0.3,0.4,0.0
5.45000,2.22680,0.0,0.1,0.3,0.0,0.0,0.6
5.35000,0.50000,0.0,0.1,0.0,0.5,0.0,0.4
4.10000,3.09019,0.4,0.0,0.2,0.0,0.0,0.4
13.10000,0.58660,0.0,0.0,0.3,0.2,0.1,0.4
4.95000,4.12679,0.0,0.6,0.3,0.1,0.0,0.0
3.05000,1.10359,0.4,0.1,0.0,0.0,0.0,0.5
8.85000,3.35000,0.2,0.2,0.3,0.0,0.3,0.0
8.10000,2.31340,0.3,0.1,0.3,0.0,0.0,0.3
10.35000,4.30000,0.1,0.1,0.0,0.0,0.4,0.4
7.55000,1.45000,0.2,0.4,0.0,0.3,0.1,0.0
10.75000,0.67321,0.2,0.0,0.0,0.3,0.1,0.4
6.30000,4.38660,0.0,0.2,0.0,0.0,0.6,0.2
13.15000,0.50000,0.0,0.0,0.4,0.2,0.1,0.3
13.75000,0.50000,0.0,0.0,0.3,0.2,0.2,0.3
3.25000,3.00359,0.2,0.1,0.0,0.7,0.0,0.0
1.90000,1.00000,0.0,0.0,0.0,0.0,0.3,0.7
5.20000,0.58660,0.0,0.2,0.0,0.6,0.0,0.2
6.25000,1.27680,0.0,0.0,0.4,0.0,0.3,0.3
7.75000,3.52320,0.1,0.4,0.2,0.0,0.3,0.0
9.90000,4.38660,0.2,0.5,0.0,0.0,0.2,0.1
10.75000,1.27680,0.6,0.0,0.1,0.0,0.1,0.2
1.80000,4.50000,0.4,0.6,0.0,0.0,0.0,0.0
4.35000,3.00359,0.2,0.0,0.1,0.0,0.0,0.7
3.00000,3.60981,0.1,0.8,0.0,0.1,0.0,0.0
7.90000,3.26340,0.1,0.1,0.5,0.0,0.3,0.0
12.10000,0.24019,0.0,0.0,0.6,0.1,0.2,0.1
6.40000,1.36340,0.0,0.0,0.2,0.0,0.4,0.4
2.85000,0.15359,0.6,0.0,0.1,0.3,0.0,0.0
10.70000,2.65981,0.1,0.0,0.3,0.1,0.0,0.5
5.10000,2.31340,0.0,0.4,0.4,0.0,0.0,0.2
4.30000,4.21340,0.1,0.0,0.4,0.0,0.5,0.0
3.95000,2.05359,0.6,0.0,0.0,0.1,0.3,0.0
5.25000,1.45000,0.0,0.2,0.0,0.5,0.3,0.0
8.40000,3.26340,0.5,0.2,0.1,0.0,0.2,0.0
12.60000,2.14019,0.0,0.1,0.1,0.0,0.7,0.1
12.35000,0.50000,0.0,0.0,0.2,0.4,0.3,0.1
9.70000,3.26340,0.5,0.0,0.3,0.1,0.1,0.0
4.20000,2.48660,0.1,0.0,0.0,0.6,0.3,0.0
1.50000,2.00000,0.0,0.0,0.7,0.0,0.3,0.0
4.10000,0.41340,0.3,0.0,0.0,0.0,0.4,0.3
10.80000,0.75981,0.1,0.0,0.0,0.4,0.1,0.4
4.85000,0.15359,0.0,0.8,0.0,0.1,0.0,0.1
4.30000,2.14019,0.2,0.0,0.0,0.2,0.6,0.0
12.85000,3.17679,0.0,0.3,0.1,0.4,0.0,0.2
7.70000,4.04019,0.2,0.1,0.6,0.1,0.0,0.0
8.70000,2.31340,0.3,0.2,0.3,0.0,0.0,0.2
10.05000,4.47321,0.1,0.5,0.0,0.0,0.2,0.2
7.45000,1.27680,0.4,0.2,0.0,0.3,0.1,0.0
2.85000,0.32680,0.5,0.0,0.3,0.2,0.0,0.0
3.15000,0.15359,0.3,0.0,0.1,0.6,0.0,0.0
6.15000,0.50000,0.0,0.0,0.0,0.4,0.5,0.1
7.30000,1.36340,0.5,0.3,0.0,0.1,0.1,0.0
8.10000,1.53660,0.2,0.1,0.0,0.2,0.5,0.0
6.20000,0.24019,0.0,0.0,0.0,0.5,0.2,0.3
2.95000,2.05359,0.5,0.1,0.0,0.0,0.4,0.0
10.30000,0.41340,0.1,0.0,0.0,0.1,0.5,0.3
13.20000,0.58660,0.0,0.0,0.3,0.3,0.1,0.3
8.20000,2.48660,0.3,0.1,0.1,0.0,0.0,0.5
4.05000,3.95359,0.5,0.0,0.1,0.0,0.4,0.0
1.30000,4.50000,0.9,0.1,0.0,0.0,0.0,0.0
10.85000,0.50000,0.4,0.0,0.0,0.3,0.1,0.2
10.55000,2.22680,0.4,0.0,0.1,0.3,0.0,0.2
13.40000,2.31340,0.0,0.4,0.2,0.0,0.2,0.2
5.00000,2.31340,0.0,0.5,0.4,0.0,0.0,0.1
2.75000,3.00359,0.7,0.1,0.0,0.2,0.0,0.0
8.10000,4.55981,0.1,0.1,0.1,0.7,0.0,0.0
8.00000,3.26340,0.2,0.1,0.4,0.0,0.3,0.0
2.10000,3.50000,0.1,0.0,0.0,0.0,0.0,0.9
9.95000,0.50000,0.2,0.0,0.0,0.4,0.3,0.1
4.15000,1.45000,0.2,0.0,0.0,0.5,0.0,0.3
4.10000,4.04019,0.4,0.0,0.2,0.0,0.4,0.0
2.85000,1.10359,0.6,0.1,0.0,0.0,0.0,0.3
5.20000,0.41340,0.0,0.3,0.0,0.4,0.0,0.3
12.80000,4.21340,0.0,0.2,0.1,0.4,0.3,0.0
1.40000,4.25000,0.8,0.0,0.2,0.0,0.0,0.0
8.05000,3.35000,0.2,0.1,0.3,0.0,0.4,0.0
12.70000,3.26340,0.0,0.1,0.1,0.5,0.0,0.3
7.60000,0.58660,0.1,0.5,0.0,0.3,0.0,0.1
2.00000,3.25000,0.0,0.2,0.8,0.0,0.0,0.0
5.95000,3.00359,0.0,0.0,0.8,0.1,0.1,0.0
12.60000,3.09019,0.0,0.1,0.1,0.7,0.0,0.1
1.90000,2.25000,0.0,0.0,0.3,0.7,0.0,0.0
4.20000,3.09019,0.3,0.0,0.2,0.0,0.0,0.5
13.40000,0.41340,0.0,0.0,0.4,0.2,0.2,0.2
12.10000,3.09019,0.0,0.6,0.1,0.2,0.0,0.1
2.90000,2.31340,0.4,0.4,0.0,0.0,0.2,0.0
4.00000,1.53660,0.3,0.0,0.0,0.6,0.0,0.1
5.20000,0.75981,0.0,0.1,0.0,0.8,0.0,0.1
3.15000,1.10359,0.3,0.1,0.0,0.0,0.0,0.6
8.20000,3.26340,0.4,0.1,0.2,0.0,0.3,0.0
7.50000,2.65981,0.1,0.7,0.1,0.0,0.0,0.1
6.55000,3.17679,0.0,0.0,0.1,0.3,0.6,0.0
9.60000,4.04019,0.7,0.1,0.0,0.0,0.1,0.1
7.85000,3.35000,0.1,0.2,0.4,0.0,0.3,0.0
5.45000,1.27680,0.0,0.1,0.0,0.3,0.6,0.0
10.30000,4.38660,0.1,0.2,0.0,0.0,0.3,0.4
3.30000,0.24019,0.1,0.0,0.2,0.7,0.0,0.0
12.35000,3.52320,0.0,0.1,0.6,0.2,0.0,0.1
8.75000,0.50000,0.2,0.3,0.0,0.3,0.0,0.2
2.85000,2.40000,0.4,0.5,0.0,0.0,0.1,0.0
7.90000,2.48660,0.1,0.2,0.3,0.0,0.0,0.4
1.90000,2.00000,0.0,0.0,0.3,0.0,0.7,0.0
3.15000,3.35000,0.1,0.5,0.0,0.4,0.0,0.0
5.15000,2.57320,0.0,0.2,0.7,0.0,0.0,0.1
9.90000,3.26340,0.3,0.0,0.3,0.3,0.1,0.0
3.20000,3.09019,0.2,0.2,0.0,0.6,0.0,0.0
4.10000,3.26340,0.3,0.0,0.4,0.0,0.0,0.3
12.10000,4.21340,0.0,0.5,0.3,0.1,0.1,0.0
5.00000,0.24019,0.0,0.6,0.0,0.2,0.0,0.2
7.50000,2.48660,0.2,0.5,0.2,0.0,0.0,0.1
7.85000,0.67321,0.1,0.3,0.0,0.2,0.0,0.4
3.05000,1.62321,0.1,0.7,0.0,0.0,0.0,0.2
5.20000,3.43660,0.0,0.2,0.6,0.0,0.2,0.0
5.20000,4.04019,0.0,0.4,0.2,0.4,0.0,0.0
3.90000,4.04019,0.6,0.0,0.2,0.0,0.2,0.0
10.50000,4.21340,0.3,0.1,0.0,0.0,0.3,0.3
10.80000,1.36340,0.5,0.0,0.2,0.0,0.1,0.2
5.10000,4.21340,0.0,0.4,0.4,0.2,0.0,0.0
9.80000,0.24019,0.5,0.0,0.0,0.1,0.3,0.1
10.00000,1.36340,0.2,0.0,0.3,0.0,0.4,0.1
7.95000,2.22680,0.2,0.1,0.5,0.0,0.0,0.2
13.60000,4.21340,0.0,0.2,0.2,0.4,0.2,0.0
13.75000,1.45000,0.0,0.3,0.0,0.2,0.2,0.3
6.40000,3.09019,0.0,0.0,0.3,0.2,0.5,0.0
3.00000,4.38660,0.2,0.6,0.2,0.0,0.0,0.0
8.30000,2.31340,0.5,0.1,0.1,0.0,0.0,0.3
4.95000,1.10359,0.0,0.7,0.0,0.1,0.2,0.0
6.20000,2.31340,0.0,0.0,0.4,0.4,0.0,0.2
7.60000,3.26340,0.2,0.3,0.4,0.0,0.1,0.0
12.55000,3.52320,0.0,0.1,0.4,0.2,0.0,0.3
9.60000,3.09019,0.7,0.0,0.1,0.1,0.1,0.0
1.80000,2.25000,0.0,0.0,0.4,0.6,0.0,0.0
5.05000,3.17679,0.0,0.5,0.3,0.0,0.2,0.0
6.50000,3.26340,0.0,0.0,0.1,0.4,0.5,0.0
7.45000,1.45000,0.3,0.4,0.0,0.2,0.1,0.0
3.05000,0.67321,0.1,0.0,0.7,0.2,0.0,0.0
10.85000,4.47321,0.2,0.4,0.0,0.0,0.1,0.3
4.40000,4.04019,0.1,0.0,0.2,0.0,0.7,0.0
12.15000,2.40000,0.0,0.4,0.4,0.0,0.1,0.1
9.70000,2.31340,0.5,0.0,0.3,0.1,0.0,0.1
6.35000,3.95359,0.0,0.4,0.0,0.0,0.1,0.5
12.20000,2.31340,0.0,0.4,0.3,0.0,0.2,0.1
11.20000,3.26340,0.2,0.0,0.2,0.4,0.2,0.0
7.40000,2.31340,0.4,0.3,0.2,0.0,0.0,0.1
10.45000,1.45000,0.2,0.0,0.1,0.0,0.3,0.4
6.65000,3.95359,0.0,0.1,0.0,0.0,0.1,0.8
12.00000,3.09019,0.0,0.7,0.1,0.1,0.0,0.1
9.95000,3.17679,0.3,0.0,0.2,0.4,0.1,0.0
6.40000,2.14019,0.0,0.0,0.3,0.2,0.0,0.5
12.15000,0.50000,0.0,0.0,0.4,0.4,0.1,0.1
9.95000,1.27680,0.3,0.0,0.2,0.0,0.4,0.1
10.35000,2.40000,0.1,0.0,0.1,0.4,0.0,0.4
13.50000,1.36340,0.0,0.3,0.0,0.2,0.3,0.2
13.05000,3.17679,0.0,0.5,0.1,0.2,0.0,0.2
9.90000,1.70981,0.1,0.0,0.7,0.0,0.1,0.1
1.40000,1.00000,0.0,0.0,0.0,0.0,0.8,0.2
13.50000,2.31340,0.0,0.3,0.2,0.0,0.3,0.2
8.70000,1.53660,0.2,0.4,0.0,0.2,0.2,0.0
12.90000,4.55981,0.0,0.1,0.1,0.1,0.7,0.0
13.55000,1.45000,0.0,0.2,0.0,0.3,0.3,0.2
4.35000,1.27680,0.1,0.0,0.0,0.3,0.0,0.6
8.05000,0.67321,0.1,0.1,0.0,0.2,0.0,0.6
8.50000,4.38660,0.3,0.4,0.1,0.2,0.0,0.0
12.30000,4.38660,0.0,0.2,0.5,0.2,0.1,0.0
12.95000,3.52320,0.0,0.2,0.1,0.1,0.0,0.6
3.85000,4.12679,0.6,0.0,0.3,0.0,0.1,0.0
12.45000,3.35000,0.0,0.1,0.4,0.4,0.0,0.1
13.35000,3.52320,0.0,0.2,0.5,0.1,0.0,0.2
2.00000,2.50000,0.0,0.2,0.0,0.0,0.0,0.8
3.05000,4.12679,0.3,0.3,0.4,0.0,0.0,0.0
4.95000,3.95359,0.0,0.7,0.1,0.2,0.0,0.0
10.35000,0.50000,0.1,0.0,0.0,0.1,0.4,0.4
7.50000,1.53660,0.2,0.5,0.0,0.2,0.1,0.0
13.50000,4.21340,0.0,0.3,0.2,0.3,0.2,0.0
6.05000,3.17679,0.0,0.0,0.6,0.3,0.1,0.0
13.10000,1.53660,0.0,0.3,0.0,0.2,0.1,0.4
7.25000,1.27680,0.6,0.2,0.0,0.1,0.1,0.0
8.55000,0.67321,0.2,0.5,0.0,0.1,0.0,0.2
13.20000,0.41340,0.0,0.0,0.5,0.2,0.1,0.2
2.80000,4.21340,0.5,0.4,0.1,0.0,0.0,0.0
3.95000,3.35000,0.4,0.0,0.5,0.0,0.0,0.1
5.30000,1.36340,0.0,0.2,0.0,0.4,0.4,0.0
1.70000,2.25000,0.0,0.0,0.5,0.5,0.0,0.0
8.50000,2.48660,0.3,0.4,0.1,0.0,0.0,0.2
10.10000,4.04019,0.2,0.1,0.0,0.0,0.6,0.1
0.50000,4.50000,1.0,0.0,0.0,0.0,0.0,0.0
7.40000,2.48660,0.3,0.5,0.1,0.0,0.0,0.1
13.20000,4.55981,0.0,0.1,0.4,0.1,0.4,0.0
7.55000,3.17679,0.3,0.2,0.4,0.0,0.1,0.0
5.25000,2.22680,0.0,0.3,0.3,0.0,0.0,0.4
2.95000,0.67321,0.2,0.0,0.7,0.1,0.0,0.0
3.90000,3.26340,0.5,0.0,0.4,0.0,0.0,0.1
9.85000,3.52320,0.2,0.0,0.6,0.1,0.1,0.0
4.15000,2.40000,0.2,0.0,0.0,0.5,0.3,0.0
13.40000,4.55981,0.0,0.1,0.6,0.1,0.2,0.0
2.85000,2.05359,0.6,0.1,0.0,0.0,0.3,0.0
7.50000,2.31340,0.3,0.3,0.3,0.0,0.0,0.1
5.20000,1.36340,0.0,0.3,0.0,0.4,0.3,0.0
10.25000,1.27680,0.1,0.0,0.1,0.0,0.6,0.2
5.50000,4.04019,0.0,0.1,0.2,0.7,0.0,0.0
10.95000,2.57320,0.2,0.0,0.5,0.1,0.0,0.2
8.60000,1.36340,0.4,0.2,0.0,0.2,0.2,0.0
2.95000,3.00359,0.5,0.1,0.0,0.4,0.0,0.0
12.30000,3.60981,0.0,0.1,0.7,0.1,0.0,0.1
9.80000,4.38660,0.3,0.5,0.0,0.0,0.1,0.1
13.10000,0.75981,0.0,0.0,0.1,0.3,0.1,0.5
4.00000,3.26340,0.4,0.0,0.4,0.0,0.0,0.2
1.30000,2.50000,0.0,0.9,0.0,0.0,0.0,0.1
12.10000,0.41340,0.0,0.0,0.5,0.3,0.1,0.1
13.65000,0.50000,0.0,0.0,0.2,0.2,0.3,0.3
4.10000,4.21340,0.3,0.0,0.4,0.0,0.3,0.0
2.95000,3.95359,0.5,0.1,0.4,0.0,0.0,0.0
9.80000,3.09019,0.5,0.0,0.1,0.3,0.1,0.0
12.40000,0.41340,0.0,0.0,0.2,0.3,0.4,0.1
8.25000,0.32680,0.5,0.1,0.0,0.2,0.0,0.2
10.55000,2.57320,0.2,0.0,0.1,0.1,0.0,0.6
4.40000,0.24019,0.1,0.0,0.0,0.0,0.2,0.7
5.55000,1.10359,0.0,0.1,0.0,0.1,0.8,0.0
7.40000,1.36340,0.4,0.3,0.0,0.2,0.1,0.0
7.75000,2.57320,0.1,0.4,0.2,0.0,0.0,0.3
2.70000,4.04019,0.7,0.2,0.1,0.0,0.0,0.0
12.25000,1.62321,0.0,0.2,0.0,0.6,0.1,0.1
8.40000,4.55981,0.1,0.4,0.1,0.4,0.0,0.0
12.55000,1.62321,0.0,0.1,0.0,0.4,0.2,0.3
4.05000,2.05359,0.5,0.0,0.0,0.1,0.4,0.0
10.35000,3.35000,0.1,0.0,0.1,0.4,0.4,0.0
9.80000,2.14019,0.5,0.0,0.1,0.3,0.0,0.1
13.10000,3.60981,0.0,0.1,0.3,0.1,0.0,0.5
6.35000,2.57320,0.0,0.0,0.1,0.7,0.0,0.2
1.30000,4.00000,0.9,0.0,0.0,0.1,0.0,0.0
10.80000,1.53660,0.3,0.0,0.3,0.0,0.1,0.3
8.15000,2.22680,0.4,0.1,0.3,0.0,0.0,0.2
1.40000,2.00000,0.0,0.0,0.8,0.0,0.2,0.0
10.65000,0.32680,0.5,0.0,0.0,0.1,0.2,0.2
10.15000,4.30000,0.1,0.3,0.0,0.0,0.4,0.2
12.30000,2.14019,0.0,0.4,0.1,0.0,0.4,0.1
10.55000,4.30000,0.3,0.1,0.0,0.0,0.2,0.4
12.90000,4.21340,0.0,0.3,0.1,0.3,0.3,0.0
2.00000,1.00000,0.0,0.0,0.0,0.0,0.2,0.8
8.05000,3.17679,0.3,0.1,0.4,0.0,0.2,0.0
4.25000,2.40000,0.1,0.0,0.0,0.5,0.4,0.0
12.25000,1.27680,0.0,0.4,0.0,0.2,0.3,0.1
5.25000,2.05359,0.0,0.4,0.1,0.0,0.0,0.5
5.20000,4.21340,0.0,0.3,0.4,0.3,0.0,0.0
2.10000,4.25000,0.1,0.0,0.9,0.0,0.0,0.0
5.15000,0.32680,0.0,0.4,0.0,0.3,0.0,0.3
4.05000,0.32680,0.4,0.0,0.0,0.0,0.3,0.3
5.25000,0.32680,0.0,0.3,0.0,0.3,0.0,0.4
10.60000,4.55981,0.1,0.2,0.0,0.0,0.1,0.6
12.25000,0.67321,0.0,0.0,0.2,0.6,0.1,0.1
12.55000,0.67321,0.0,0.0,0.1,0.4,0.2,0.3
7.90000,0.41340,0.1,0.1,0.0,0.5,0.0,0.3
7.65000,3.17679,0.2,0.2,0.5,0.0,0.1,0.0
5.20000,3.60981,0.0,0.1,0.8,0.0,0.1,0.0
3.75000,1.10359,0.8,0.0,0.0,0.1,0.0,0.1
8.30000,3.26340,0.5,0.1,0.1,0.0,0.3,0.0
5.25000,4.47321,0.0,0.1,0.7,0.2,0.0,0.0
10.90000,2.48660,0.3,0.0,0.4,0.1,0.0,0.2
2.75000,2.22680,0.6,0.3,0.0,0.0,0.1,0.0
4.25000,1.10359,0.3,0.0,0.0,0.1,0.0,0.6
12.55000,4.47321,0.0,0.1,0.4,0.2,0.3,0.0
13.30000,0.75981,0.0,0.0,0.1,0.5,0.1,0.3
12.85000,3.52320,0.0,0.1,0.1,0.2,0.0,0.6
11.05000,3.35000,0.3,0.0,0.3,0.2,0.2,0.0
5.45000,3.17679,0.0,0.1,0.3,0.0,0.6,0.0
5.00000,4.04019,0.0,0.6,0.2,0.2,0.0,0.0
9.60000,0.24019,0.7,0.0,0.0,0.1,0.1,0.1
8.85000,4.30000,0.2,0.2,0.3,0.3,0.0,0.0
13.40000,2.65981,0.0,0.1,0.6,0.0,0.1,0.2
4.20000,2.14019,0.3,0.0,0.0,0.2,0.5,0.0
12.90000,2.48660,0.0,0.2,0.1,0.0,0.2,0.5
3.05000,2.22680,0.3,0.3,0.0,0.0,0.4,0.0
3.10000,4.21340,0.2,0.4,0.4,0.0,0.0,0.0
10.20000,2.48660,0.1,0.0,0.3,0.3,0.0,0.3
1.80000,2.50000,0.0,0.4,0.0,0.0,0.0,0.6
7.95000,3.52320,0.1,0.2,0.2,0.0,0.5,0.0
6.35000,1.62321,0.0,0.0,0.1,0.0,0.7,0.2
1.70000,1.00000,0.0,0.0,0.0,0.0,0.5,0.5
9.90000,2.48660,0.2,0.0,0.5,0.2,0.0,0.1
3.20000,3.26340,0.1,0.4,0.0,0.5,0.0,0.0
13.75000,3.35000,0.0,0.3,0.2,0.2,0.0,0.3
7.95000,1.62321,0.1,0.2,0.0,0.2,0.5,0.0
4.20000,0.41340,0.2,0.0,0.0,0.0,0.4,0.4
1.70000,1.50000,0.0,0.0,0.0,0.5,0.5,0.0
7.35000,3.35000,0.4,0.4,0.1,0.0,0.1,0.0
2.10000,2.25000,0.0,0.0,0.1,0.9,0.0,0.0
5.15000,1.10359,0.0,0.5,0.0,0.1,0.4,0.0
3.25000,4.12679,0.1,0.3,0.6,0.0,0.0,0.0
3.25000,3.17679,0.1,0.3,0.0,0.6,0.0,0.0
10.55000,0.50000,0.3,0.0,0.0,0.1,0.2,0.4
10.30000,2.48660,0.1,0.0,0.2,0.3,0.0,0.4
8.25000,2.40000,0.4,0.1,0.1,0.0,0.0,0.4
12.05000,2.22680,0.0,0.6,0.2,0.0,0.1,0.1
10.50000,0.41340,0.3,0.0,0.0,0.1,0.3,0.3
8.20000,0.58660,0.3,0.1,0.0,0.1,0.0,0.5
3.85000,3.95359,0.7,0.0,0.1,0.0,0.2,0.0
7.55000,2.40000,0.2,0.4,0.3,0.0,0.0,0.1
4.35000,3.17679,0.1,0.0,0.3,0.0,0.0,0.6
5.05000,0.50000,0.0,0.4,0.0,0.5,0.0,0.1
11.15000,1.45000,0.2,0.0,0.3,0.0,0.3,0.2
